Name,Years in Business,Rating,Phone Number,Url,Address,Categories
Dave & Buster's New York City - Times Square,43 Years,(263),(646) 495-2015,http://www.daveandbusters.com/,"234 W 42nd St 3rd Fl
New York, NY 10036",American Restaurants
Paul & Jimmy's Restaurant,75 Years,(77),(212) 475-9540,https://www.paulandjimmys.com/,"123 E 18th St
New York, NY 10003",Italian Restaurants
Festival Restaurant,34 Years,No rating,(212) 995-0154,No website link available,"120 Rivington St
New York, NY 10002",Family Style Restaurants
Bobby Van's Steakhouse - 54th Street,22 Years,(200),(212) 207-8050,http://www.bobbyvans.com/54th-street.html,"131 E 54th St
New York, NY 10022",Steak Houses
Johnny Rock,Not Available,No rating,(212) 813-0003,No website link available,"930 3rd Ave
New York, NY 10022",American Restaurants
S'mac,19 Years,(473),(212) 358-7912,http://www.eatsmac.com/,"197 1st Ave
New York, NY 10003",American Restaurants
Pita Grill Restaurant,Not Available,No rating,(212) 363-2333,No website link available,"69 New St
New York, NY 10004",Family Style Restaurants
Sparks Steak House,30 Years,(1469),(212) 687-4855,http://www.sparkssteakhouse.com/,"210 E 46th St
New York, NY 10017",Steak Houses
Babbo,27 Years,(1981),(212) 777-0303,http://www.babbonyc.com/,"110 Waverly Pl
New York, NY 10011",Italian Restaurants
Red House Restaurant,30 Years,(4),(212) 228-8288,No website link available,"203 E 14th St Frnt A
New York, NY 10003",Chinese Restaurants
El Presidente Restaurant,36 Years,No rating,(212) 927-7011,http://elpresidenterest.com/index1.html,"3938 Broadway
New York, NY 10032",Latin American Restaurants
Firefly,Not Available,No rating,(212) 966-8716,http://www.fireflynyc.com/,"54 Spring St
New York, NY 10012",Family Style Restaurants
Hudson Falafel Restaurant,Not Available,No rating,(212) 242-3939,No website link available,"516 Hudson St
New York, NY 10014",African Restaurants
Gramercy Café,Not Available,(103),(212) 982-2121,http://www.gramercykitchen.nyc/,"184 3rd Ave
New York, NY 10003",American Restaurants
Carbone Ristorante Italiano,Not Available,No rating,(212) 290-2625,No website link available,"331 W 38th St
New York, NY 10018",Pizza
Planet Hollywood,22 Years,No rating,(212) 333-7827,http://www.planethollywoodintl.com/locations.php,"1540 Broadway
New York, NY 10036",Bar & Grills
Old Homestead Steakhouse,50 Years,(1222),(212) 242-9040,https://www.theoldhomesteadsteakhouse.com/contact,"56 9th Ave
New York, NY 10011",Steak Houses
Il Piccolo Bufalo,Not Available,(462),(212) 219-9068,http://www.ilpiccolobufalo.com/,"141 Mulberry St
New York, NY 10013",Italian Restaurants
Sofia's of Little Italy,21 Years,(492),(212) 219-9799,https://www.sofias143.com/,"143 Mulberry St
New York, NY 10013",Italian Restaurants
Stout NYC,21 Years,(445),(212) 629-6191,https://www.stoutnyc.com/,"133 W 33rd St
New York, NY 10001",American Restaurants
Noi Due,Not Available,(111),(212) 712-2222,http://www.noiduecafe.com/,"143 W 69th St
New York, NY 10023",Italian Restaurants
Frankie's Spuntino,21 Years,No rating,(212) 253-2303,http://www.frankiesspuntino.com/,"17 Clinton St
New York, NY 10002",Italian Restaurants
Pinto Restaurant,18 Years,No rating,(212) 366-5455,No website link available,"118 Christopher St
New York, NY 10014",Thai Restaurants
Esca,25 Years,No rating,(212) 564-7272,http://www.esca-nyc.com/,"402 W 43rd St
New York, NY 10036",Family Style Restaurants
Dervish Turkish Restaurant,Not Available,No rating,(212) 997-0070,http://www.dervishrestaurant.com/,"146 W 47th St
New York, NY 10036",Mediterranean Restaurants
Georgio's Country Grill,Not Available,No rating,(212) 977-1150,http://georgioscountrygrill.com/,"801 9th Ave
New York, NY 10019",American Restaurants
Mughlai Indian Cuisine,36 Years,No rating,(212) 724-6363,No website link available,"320 Columbus Ave
New York, NY 10023",Indian Restaurants
Nello,33 Years,(583),(212) 980-9099,http://www.nytimes.com/2010/04/14/dining/reviews/14rest.html?_r=1,"696 Madison Ave
New York, NY 10065",Italian Restaurants
T.G.I. Fridays,Not Available,No rating,(212) 681-8458,http://tgifridays.com/,"47 E 42nd St
New York, NY 10017",American Restaurants
Fiamma,Not Available,No rating,(212) 653-0100,http://fiamma41.com/,"206 Spring St
New York, NY 10012",Italian Restaurants
Cipriani Club 55,19 Years,(458),(212) 699-4096,http://cipriani.com/,"55 Wall St
New York, NY 10005",Italian Restaurants
Harry's,53 Years,(377),(212) 785-9200,http://www.harrysnyc.com/,"1 Hanover Sq
New York, NY 10004",American Restaurants
Lavagna Restaurant,Not Available,(160),(212) 979-1005,http://www.lavagnanyc.com/,"545 E 5th St
New York, NY 10009",Mediterranean Restaurants
